Species Strain Condition Line Genotype RSS r2 rmax rmax_se topt topt_se ctmin ctmin_se ctmax ctmax_se tolerance breadth An_rmax An_topt An_ctmax An_ctmin An_tolerance An_breadth rmax_rel topt_rel ctmax_rel ctmin_rel tolerance_rel breadth_rel
Su Su-2 Treatment 4 I2 0.0006106 0.987 0.363 0.013 29.344 0.569 5.484 2.655 34.97 0.888 29.486 8.231 0.447 28.608 31.778 5.784 25.994 6.14 -0.084 0.736000000000001 3.192 -0.3 3.492 2.091
Su Su-2 Treatment 4 I3 0.0009085 0.982 0.369 0.016 29.403 0.696 5.879 3.294 35.454 1.427 29.575 8.496 0.447 28.608 31.778 5.784 25.994 6.14 -0.078 0.794999999999998 3.676 0.0949999999999998 3.581 2.356
Sk Sk-1 Ancestral Ancestral Ancestral 0.002 0.89 0.318 0.043 27.941 2.301 1.111 13.655 33.281 1.964 32.17 8.471 0.318 27.941 33.281 1.111 32.17 8.471 0 0 0 0 0 0
Sk Sk-1 Control 1 I1 0.006 0.919 0.39 0.041 27.532 1.281 10.926 4.167 32.995 0.932 22.069 6.884 0.318 27.941 33.281 1.111 32.17 8.471 0.072 -0.408999999999999 -0.286000000000001 9.815 -10.101 -1.587
Sk Sk-1 Control 1 I3 0.003 0.945 0.348 0.026 27.259 1.046 8.081 4.166 32.956 0.698 24.875 7.465 0.318 27.941 33.281 1.111 32.17 8.471 0.03 -0.681999999999999 -0.324999999999996 6.97 -7.295 -1.006
Sk Sk-1 Control 2 I1 0.004 0.95 0.423 0.035 27.531 1.038 11.228 3.261 33.303 0.945 22.075 7.041 0.318 27.941 33.281 1.111 32.17 8.471 0.105 -0.41 0.0219999999999985 10.117 -10.095 -1.43
Sk Sk-1 Control 2 I3 0.0005533 0.992 0.43 0.019 25.809 1.15 11.786 2.589 34.481 0.965 22.695 8.512 0.318 27.941 33.281 1.111 32.17 8.471 0.112 -2.132 1.2 10.675 -9.475 0.0410000000000004
Sk Sk-1 Control 3 I1 0.002 0.973 0.42 0.048 24.677 3.829 14.53 0.261 34.825 1.788 20.295 9.093 0.318 27.941 33.281 1.111 32.17 8.471 0.102 -3.264 1.544 13.419 -11.875 0.622
Sk Sk-1 Control 3 I2 0.005 0.918 0.367 0.035 27.593 1.359 9.474 4.84 33.528 1.439 24.054 7.469 0.318 27.941 33.281 1.111 32.17 8.471 0.049 -0.347999999999999 0.247 8.363 -8.116 -1.002
Sk Sk-1 Control 3 I3 0.002 0.96 0.366 0.026 27.538 0.969 10.625 3.196 33.934 1.266 23.309 7.575 0.318 27.941 33.281 1.111 32.17 8.471 0.048 -0.402999999999999 0.652999999999999 9.514 -8.861 -0.896
Sk Sk-1 Control 4 I1 0.004 0.921 0.355 0.032 27.403 1.364 8.772 5.116 33.726 1.55 24.954 7.827 0.318 27.941 33.281 1.111 32.17 8.471 0.037 -0.538 0.445 7.661 -7.216 -0.644
